,0,1,250,500,750,1000,1250,1500,1750,2000,2250,2500,2750
D0_x,276.189,276.893,259.673,338.292,345.468,347.056,294.399,304.859,331.673,354.657,336.09,387.81,426.49
D0_y,5.64241,7.45203,15.641,28.2818,2.80114,20.0024,18.2025,38.3985,56.6,51.681,63.991,56.9077,42.3452
D1_x,104.92,93.0504,101.764,97.0785,81.1146,94.7473,85.8871,88.8583,100.651,125.43,200.472,202.361,220.776
D1_y,129.498,126.829,143.914,156.793,117.476,89.6832,126.147,139.461,153.855,202.284,254.385,232.46,257.377
D2_x,265.61,266.566,263.754,238.159,224.911,211.656,196.368,177.818,167.318,158.959,134.07,138.583,135.08
D2_y,471.835,474.046,496.922,497.198,495.858,484.306,480.277,472.989,481.454,458.267,450.894,446.745,448.187
D3_x,291.792,291.711,317.27,339.282,329.226,331.563,323.221,330.373,333.298,334.749,354.532,353.35,341.726
D3_y,456.417,456.345,446.839,466.995,451.554,479.376,472.145,455.595,440.858,429.342,434.447,419.189,414.412
D4_x,402.506,401.757,450.32,453.315,478.698,457.183,464.566,476.341,479.513,467.372,429.257,396.086,400.591
D4_y,160.591,164.1,179.704,183.807,204.919,204.288,238.321,258.442,259.365,250.319,240.809,256.376,262.554
D5_x,443.618,442.3,439.141,416.647,391.395,398.794,413.129,437.599,463.202,477.604,491.124,497.2,497.2
D5_y,422.582,422.407,454.103,447.694,424.883,437.282,426.403,443.961,449.588,465.347,480.806,492.257,472.844
D6_x,55.997,57.5184,50.8294,47.3667,42.9797,36.9277,61.1158,35.0393,44.2506,87.0756,98.4725,100.596,106.544
D6_y,273.546,271.597,248.776,243.019,194.448,178.844,192.62,209.725,220.155,214.861,177.159,142.714,138.505
D7_x,330.633,330.014,325.241,313.325,350.149,377.157,388.131,395.615,411.681,393.3,420.748,463.821,466.644
D7_y,425.327,427.095,403.698,344.841,318.348,320.567,297.303,274.052,254.93,273.767,320.967,315.473,314.694
D8_x,472.232,472.795,467.262,469.69,486.246,497.2,497.021,490.982,478.803,492.295,497.167,465.427,456.817
D8_y,294.295,294.044,277.634,267.223,264.02,269.464,339.056,320.23,318.173,372.957,381.593,386.059,361.823
D9_x,485.202,486.062,480.384,466.126,477.355,484.173,478.164,465.574,461.469,464.333,463.042,434.412,464.11
D9_y,411.415,412.063,443.736,455.078,474.558,497.103,496.449,480.567,455.014,455.956,461.342,428.738,419.852
D10_x,463.042,463.326,491.53,497.2,483.105,466.923,442.667,437.648,400.829,410.466,398.081,425.219,382.17
D10_y,117.251,118.323,120.314,128.151,115.003,158.645,163.297,170.308,180.449,161.355,155.368,161.934,168.726
