,0,1,125,250,375,500,625,750,875,1000,1125
D0_x,91.0249,89.8364,89.832,90.5605,84.2233,84.3003,85.7257,85.7257,85.7257,85.7257,85.7257
D0_y,373.87,374.469,381.068,383.631,386.173,386.345,387.48,387.48,387.48,387.48,387.48
D1_x,448.704,448.704,448.704,448.704,448.704,448.704,448.704,448.704,448.704,448.704,448.704
D1_y,327.839,327.839,327.839,327.839,327.839,327.839,327.839,327.839,327.839,327.839,327.839
D2_x,442.292,447.81,448.219,448.219,448.219,448.219,448.219,448.219,448.219,448.219,446.428
D2_y,473.941,479.216,482.679,482.679,482.679,482.679,482.679,482.679,482.679,482.679,480.028
D3_x,387.228,383.422,383.411,380.887,380.088,385.444,385.435,385.37,385.256,385.313,386.363
D3_y,256.844,258.261,276.738,288.646,289.29,287.625,287.566,287.169,286.635,286.231,285.516
D4_x,241.827,243.832,254.647,227.879,230.717,252.59,257.771,235.53,240.15,234.808,251.2
D4_y,402.05,403.313,419.652,417.804,412.644,420.531,413.057,410.443,401.82,396.497,389.121
D5_x,417.583,415.207,432.79,440.872,441.461,441.431,441.428,439.974,438.361,438.361,438.361
D5_y,219.651,219.236,223.467,234.132,238.369,238.364,238.363,238.171,237.88,237.88,237.88
D6_x,209.225,203.423,197.117,190.637,177.661,177.661,177.661,176.69,174.856,187.461,187.861
D6_y,14.7166,8.10803,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9
D7_x,402.884,402.424,402.424,402.424,402.424,402.424,402.424,402.424,402.424,399.507,402.448
D7_y,467.322,470.482,470.484,470.484,470.484,470.484,470.484,470.484,470.484,463.296,452.856
D8_x,355.535,354.558,340.634,328.658,320.819,314.727,314.519,316.557,320.643,316.727,313.592
D8_y,216.865,216.137,215.638,223.199,229.353,233.097,233.093,233.78,242.424,248.226,256.853
D9_x,454.032,458.885,462.333,457.798,453.641,462.194,472.191,485.288,477.05,481.538,485.378
D9_y,153.065,148.04,146.394,139.583,136.562,136.686,133.588,151.038,166.556,170.871,175.37
D10_x,127.91,127.91,127.91,127.91,127.91,127.91,127.91,127.91,127.91,127.91,127.91
